,Date,Q42024,DL_CPI_1,DL_CPI_2,,137.0613,DL_CPI_FOOD_1,DL_CPI_FOOD_2,FOOD,161.6578,DL_CPI_ENERGY_1,DL_CPI_ENERGY_2,ENERGY,125.083,DL_CPI_CORE_1,DL_CPI_CORE_2,,135.8617,CPI_1,CPI_2,CPI_FOOD_1,CPI_FOOD_2,CPI_ENERGY_1,CPI_ENERGY_2,CPI_CORE_1,CPI_CORE_2,DL_ENERGY_F3,CPI_ENERGY_3,DL_FOOD_3,CPI_FOOD_3,DL_CORE_F3,CPI_CORE_3
1,11/1/2024,Q42024,5.056098858,5.070361697,5.063230278,137.6408325,13.68498508,9.364562919,12.5246593,163.3538932,1.515048957,2.810425774,2.009117955,125.2925975,3.590713083,3.661129217,3.616231729,136.2717403,137.6400146,137.6416505,163.5119227,162.9242808,125.2410221,125.3762904,136.2688425,136.276839,1.701879133,125.2605226,14.5244299,163.6263455,3.596852887,136.2695397
2,12/1/2024,Q42024,4.232919917,4.378583129,4.305751523,138.1355923,-1.306729916,3.062855891,3.50649781,163.8319247,5.592250128,5.629244646,5.166937363,125.8332431,3.618978058,3.850846521,3.61198828,136.6825349,138.1263878,138.1447974,163.3339647,163.3406566,125.8260335,125.9658169,136.6804244,136.7148591,4.279317314,125.7080113,8.763367457,164.8256508,3.36614026,136.6523283
3,1/1/2025,Q12025,3.958594611,4.378583129,4.16858887,138.6162855,1.838727607,1.777088477,2.707015764,164.2019216,7.429642007,6.933981447,6.486215008,126.5152358,3.645423382,3.764877027,3.612448532,137.0946204,138.5827956,138.6497836,163.5844288,163.5827281,126.6074854,126.6957944,137.0962708,137.1444615,5.09502157,126.2428835,4.505231209,165.4456286,3.427045186,137.0431475
4,2/1/2025,Q12025,3.999243015,4.378583129,4.188913072,139.1010073,3.654904879,0.034399186,0.147991576,164.2221732,7.512252552,6.861692483,6.353718053,127.1868808,3.6701662,3.915516925,3.777596777,137.5268739,139.0454213,139.1566157,164.0834262,163.5874175,127.402561,127.4223259,137.5162177,137.5926853,4.687209122,126.7369535,-3.245329338,164.9987951,3.747107207,137.4717458
5,3/1/2025,Q12025,4.102122887,4.378583129,4.240353008,139.593408,4.70355992,5.896455447,4.113005266,164.7860112,6.27158535,5.880102801,5.491417822,127.7702448,3.693316117,3.901793293,3.733214872,137.9553879,139.5215524,139.6653005,164.7278352,164.3932172,128.0701507,128.0482385,137.9401121,138.0407952,4.322565315,127.1943007,1.739000431,165.2380792,3.604535206,137.8853014
6,4/1/2025,Q22025,4.166547513,4.378583129,4.272565321,140.0913121,5.30905004,5.655970613,5.760021887,165.5788884,4.556113321,4.609684649,4.340472167,128.2332343,3.714975681,3.95603786,3.732135108,138.3851126,140.0068304,140.1758448,165.45824,165.1698821,128.5573267,128.5410695,138.3678106,138.496625,3.855618531,127.6036352,6.315045007,166.1099429,3.525391783,138.2909801
7,5/1/2025,Q22025,4.191215986,4.378583129,4.284899557,140.5924373,5.658658129,5.811500936,6.029562402,166.4129556,3.324540303,3.742785287,3.611982968,128.619796,3.735240839,3.979292316,3.780172024,138.8217329,140.4966844,140.6882554,166.2403088,165.9717262,128.9139822,128.9426134,138.7991792,138.9566528,3.768623315,128.0050068,6.618528139,167.0286436,3.625982918,138.7094794
8,6/1/2025,Q22025,4.199831912,4.378583129,4.28920752,141.0958616,5.86052074,6.172169789,6.171517014,167.2710105,3.179563568,3.699627901,3.54905935,129.0007585,3.75420136,4.021529209,3.814881528,139.2637588,140.9892646,141.2025391,167.0541736,166.8275968,129.2560103,129.3407599,139.2340925,139.4231159,3.767986582,128.4075728,6.481860513,167.9332983,3.668914014,139.1342226
9,7/1/2025,Q32025,4.207529718,4.378583129,4.293056423,141.6015427,5.977075575,6.42192326,5.740548239,168.073117,4.097548823,4.4358615,4.137086113,129.4462654,3.771941235,4.052320821,3.824318041,139.7082909,141.4844794,141.7187028,167.8883288,167.722785,129.6981254,129.8197594,139.6724334,139.8947344,3.877848016,128.8231982,4.822645882,168.6095586,3.648692067,139.5579147
10,8/1/2025,Q32025,4.218021031,4.378583129,4.29830208,142.1096573,6.044373971,6.385748675,5.388152725,168.8294835,5.501616735,5.504362799,4.980069128,129.9845911,3.788539046,4.085882386,3.844721768,140.156625,141.9826749,142.2367533,168.736112,168.6176937,130.294115,130.4166064,140.1140923,140.3718741,3.934227849,129.2462411,3.734335529,169.1350798,3.659743872,139.9841863
