variable,selected_p_gdp,selected_K_ind,bic_avg,rmse,n_forecasts
DA_AUTO_SALES_US,0,4,140.708263810879,5.20187070954046,7
DA_BGS,0,4,148.865382600287,5.22252331224536,7
DA_CAP_UTILI_US,0,4,126.61958144596,3.65646157302377,7
DA_CONS_CONF_US,0,4,140.538386554204,6.85165664571981,7
DA_CONS_SENTI_US,0,4,146.556826178015,8.56192481508008,7
DA_CPI_US,0,3,152.321341394376,8.0678839946071,7
DA_Credit,0,4,156.758211092498,5.2625356151542,7
DA_EMPLOY_NONFARM_US,0,4,129.129736683123,6.10753919562791,7
DA_Fx,0,4,145.857617722131,4.25524617654842,7
DA_HOUSING_STARTS_US,0,4,147.676199216925,6.63215831959861,7
DA_HVT,0,4,125.513141855104,6.05988127307718,7
DA_IC_Br,0,4,148.726597438085,5.79489319458327,7
DA_IE_S,0,4,126.258882421103,5.07252657757893,7
DA_IE_S_alt,0,4,130.684135914741,6.38006704050064,7
DA_INCC_DI,0,4,143.597824523406,6.13863043637224,7
DA_INDF,0,6,136.372028099522,4.42224459405665,6
DA_INDFE,0,3,143.810957421201,4.87498915625087,7
DA_IP,0,4,117.538045806562,3.65604511341715,7
DA_IP_US,0,4,124.25742039195,2.66191311322528,7
DA_IPCA,0,3,156.177063840272,5.09711667720503,7
DA_IPCA_EX0,1,4,21.6754302416154,14.843926009342,2
DA_IPCA_EX1,0,3,146.187779580784,7.51810607335218,7
DA_IPCA_EX2,2,3,28.5064276657568,86.4479570038161,1
DA_IPCA_MA,0,4,134.783770462086,5.99517433173773,7
DA_IPCA_MS,0,7,29.3995796794019,8.60878125144728,1
DA_IPCDG,0,4,122.450331416606,4.07380192831042,7
DA_IPCG,0,4,123.614982629242,6.09288804570124,7
DA_IPCI,0,3,131.835864324354,3.94345461520381,7
DA_IPCIG,0,4,118.670358621271,4.81514245195787,7
DA_IPKG,0,4,125.387800069815,5.37832755413027,7
DA_IPME,0,3,151.387672307179,6.40979301596528,7
DA_IPMI,0,6,118.496220873543,7.0989628740985,6
DA_IPSDG,0,4,124.017054143073,5.50681049657261,7
DA_ISA_S,0,4,121.055632671177,4.11981676406825,7
DA_M1,0,6,152.580952500106,11.8087348255421,6
DA_PIB_monthly,0,4,148.906967055839,8.05954198360034,7
DA_QSC,0,4,145.19060108423,8.90083350019482,7
DA_RE_Value,0,4,151.324368304877,5.10942078524012,7
DA_REER_IPCA,0,4,147.507295773787,4.54970009590873,7
DA_REER_USD,0,4,142.675647967205,4.82042680517594,7
DA_Retail_Sales,0,4,130.903493539882,7.55808113805099,7
DA_RETAIL_SALES_US,4,5,135.49923364361,3.63517982996897,4
DA_Savings,0,4,152.046073085876,7.25543722747204,7
DA_Selic,0,3,142.962905286581,7.50527979930504,7
DA_Steel,0,4,148.305461324378,7.33598866506424,7
DA_TRUCK_IMP_US,0,4,141.420631662012,5.70259895191787,7
DA3m_AUTO_SALES_US,0,3,133.12772151702,8.95397172418835,7
DA3m_BGS,1,4,137.943278372529,13.8329388981171,6
DA3m_CAP_UTILI_US,0,3,119.941014193498,4.63219701232839,7
DA3m_CONS_CONF_US,0,4,141.691212666986,7.53187421015099,7
DA3m_CONS_SENTI_US,0,4,142.494175529622,7.51157980281023,7
DA3m_CPI_US,0,4,148.418650964331,7.60058573287341,7
DA3m_Credit,0,3,152.063757547158,5.10197751858205,7
DA3m_EMPLOY_NONFARM_US,0,4,125.047996647258,4.02399592227753,7
DA3m_Fx,0,3,145.272220971706,4.06439578028959,7
DA3m_HOUSING_STARTS_US,0,3,142.132798884247,9.28142253528475,7
DA3m_HVT,0,4,113.586730409648,4.84579224998234,7
DA3m_IC_Br,0,3,151.570717182728,4.69964289336272,7
DA3m_IE_S,0,3,125.805917349185,5.09985704520565,7
DA3m_IE_S_alt,0,3,132.750693432689,6.17525038940325,7
DA3m_INCC_DI,0,3,153.595242141597,6.7251911898511,7
DA3m_INDF,0,3,127.078754305885,6.020633745786,7
DA3m_INDFE,0,4,125.765457545738,5.23025402474221,7
DA3m_IP,0,4,107.129812461662,3.67406017260587,7
DA3m_IP_US,0,3,116.963054856829,3.77813216118002,7
DA3m_IPCA,0,3,159.09833455217,5.99460509955857,7
DA3m_IPCA_EX0,2,3,32.0870851184763,39.6020730583031,1
DA3m_IPCA_EX1,0,3,148.800665806204,6.32872402038069,7
DA3m_IPCA_EX2,0,7,17.7946604086843,4.18721900522234,1
DA3m_IPCA_MA,0,4,143.630998087655,6.86397555835064,7
DA3m_IPCA_MS,2,3,28.4140985738306,4.24383404321784,1
DA3m_IPCDG,0,4,114.04409862286,4.0653736723133,7
DA3m_IPCG,1,3,117.679192029788,9.97137156578508,6
DA3m_IPCI,0,4,124.634120088015,5.51300526862143,7
DA3m_IPCIG,1,4,120.736940442928,4.18174275587091,6
DA3m_IPKG,0,3,116.196906722703,7.94665868710888,7
DA3m_IPME,0,4,155.346839021991,7.85513554499057,7
DA3m_IPMI,0,4,110.815947211549,3.22102339581057,7
DA3m_IPSDG,0,4,125.084977220342,12.3787224843088,7
DA3m_ISA_S,0,4,118.988747987211,3.62092743494111,7
DA3m_M1,0,4,141.117870366386,8.71008857698967,7
DA3m_PIB_monthly,0,4,142.687530879099,8.28797021213723,7
DA3m_QSC,0,4,139.918101086276,7.14865231058712,7
DA3m_RE_Value,0,4,149.817249036798,6.59836694717504,7
DA3m_REER_IPCA,0,3,146.005825062465,4.26695368317741,7
DA3m_REER_USD,0,3,146.011472703505,4.20748921447457,7
DA3m_Retail_Sales,0,3,130.138510143978,6.16592483988259,7
DA3m_RETAIL_SALES_US,1,4,125.55793516213,6.72491754234431,6
DA3m_Savings,0,3,141.537311573783,5.53065079306888,7
DA3m_Selic,0,4,154.09532641082,9.26003860488041,6
DA3m_Steel,0,3,144.901685568414,6.99916357740309,7
DA3m_TRUCK_IMP_US,0,3,139.170478193245,5.80912666979967,7
