"202401 !M",".excel_last","S223MG@MKTPMI","S223MO@MKTPMI","S223ME@MKTPMI","S223MD@MKTPMI","S223MSP@MKTPMI","S223MPI@MKTPMI","S223MQP@MKTPMI","S223MSF@MKTPMI","S223MX@MKTPMI","S223MB@MKTPMI","S223MPO@MKTPMI","S223OI@MKTPMI"
".DESC",NA,"Brazil PMI: Manufacturing Output (SA, 50+=Expansion)","Brazil PMI: Manufacturing New Orders (SA, 50+=Expansion)","Brazil PMI: Manufacturing Employment (SA, 50+=Expansion)","Brazil PMI: Manufacturing Suppliers' Delivery Times (SA, 50+=Faster)","Brazil PMI: Manufacturing Stocks of Purchases (SA, 50+=Expansion)","Brazil PMI: Manufacturing Input Prices (SA, 50+=Expansion)","Brazil PMI: Manufacturing Quantity of Purchases (SA, 50+=Expansion)","Brazil PMI: Manufacturing Stocks of Finished Goods (SA, 50+=Expansion)","Brazil PMI: Manufacturing New Export Orders (SA, 50+=Expansion)","Brazil PMI: Manufacturing Backlogs of Work (SA, 50+=Expansion)","Brazil PMI: Manufacturing Output Prices (SA, 50+=Expansion)","Brazil: Manufacturing Orders to Inventories (SA, Ratio)"
".T1",NA,"Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006","Feb-2006"
".TN",NA,"Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Oct-2025","Sep-2025"
".LSOURCE",NA,"S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global","S&P Global"
".AGG",NA,"Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average"
".DTLM",NA,"Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Nov-03-2025 08:00","Oct-03-2025 04:31"
".FRQ",NA,"Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly","Monthly"
".DATA_TYPE",NA,"INDEX","INDEX","INDEX","INDEX","INDEX","INDEX","INDEX","INDEX","INDEX","INDEX","INDEX","RATIO"
".MAG",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
".GRP",NA,"B10","B10","B10","B10","B10","B10","B10","B10","B10","B10","B10","D89"
".GRPDESC",NA,"Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Brazil Manufacturing, S&P Global, Monthly","Manufacturing Orders to Inventories Ratios PMI, IHS Markit, Monthly"
".GEO",NA,"223","223","223","223","223","223","223","223","223","223","223","223"
"202401",2024-01-31,"53.854500000000002","52.608600000000003","53.7941","46.861199999999997","48.6601","50.414099999999998","51.002200000000002","48.6051","48.670999999999999","46.326300000000003","51.468200000000003","1.0824"
"202402",2024-02-29,"56.730200000000004","54.229399999999998","54.497199999999999","49.400500000000001","51.162199999999999","51.787300000000002","54.292499999999997","50.201799999999999","46.210500000000003","43.204599999999999","52.0182","1.0802"
"202403",2024-03-31,"56.0959","55.011800000000001","54.369100000000003","50.941400000000002","48.6982","52.317300000000003","52.276600000000002","49.720599999999997","47.786299999999997","43.641599999999997","50.849499999999999","1.1064000000000001"
"202404",2024-04-30,"58.445099999999996","57.196399999999997","55.264499999999998","46.842500000000001","50.777099999999997","56.604100000000003","55.283900000000003","51.213299999999997","50.872","46.533900000000003","55.238","1.1168"
"202405",2024-05-31,"50.083599999999997","50.956200000000003","55.8307","46.256999999999998","50.472299999999997","56.986800000000002","52.873600000000003","48.194400000000002","50.2181","45.635899999999999","54.762","1.0572999999999999"
