"code","name","long_name","source","sheet"
"IGP12_INCC12","INCC_DI","INCC-DI - geral - índice (ago. 1994 = 100)","ipea","Ipea"
"GAC12_INDFBCFCCDESSAZ12","INDF","Indicador IPEA de FBCF - construção civil - índice real dessazonalizado (média 1995 = 100)","ipea","Ipea"
"GAC12_INDFBCFDESSAZ12","INDFE","Indicador IPEA de FBCF - índice real dessazonalizado (média 1995 = 100)","ipea","Ipea"
"BM12_PIB12","PIB_monthly","PIB","ipea","Ipea"
"IBSIE12_QSCFG12","QSC","Transformação Mineral - ferro-gusa - produção","ipea","Ipea"
"IBSIE12_QSCAB12","QSC","Transformação Mineral - aço bruto - produção","ipea","Ipea"
"IBSIE12_QSCL12","QSC","Transformação Mineral - laminados - produção","ipea","Ipea"
"BM366_TJOVER366","Selic","axa de juros - Selic - fixada pelo Comitê de Política Monetária (Copom)","ipea","Ipea"
"GM366_ERC366","Fx","Taxa de câmbio dólar comercial para compra","ipea","Ipea"
"28503","IP","General (2022=100) Seasoally Adjusted Industrial Production","IBGE","CentralBank1"
"28504","IPME","Physical Production - Mineral extraction - Seasonally Adjusted  Industrial Production","IBGE","CentralBank1"
"28505","IPMI","Physical Production - Manufacturing industry - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28506","IPKG","Physical Production - Capital goods - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28507","IPCI","Physical Production - Intermediate goods - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28508","IPCG","Physical Production - Consumer goods - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28509","IPCDG","Physical Production - Durable goods - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28510","IPSDG","Physical Production - Semidurable and nondurable goods - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28511","IPCIG","Physical Production - Production of construction inputs - Seasonally Adjusted Industrial Production","IBGE","CentralBank1"
"28546","Steel","Steel production - Seasonally Adjusted","BCB-Depec","CentralBank1"
"28553","HVT","Heavy vehicle traffic on toll roads - ABCR - Seasonally Adusted","BCB-Depec","CentralBank1"
"28554","CU","Capacity utilization – manufacturing industry - Seasonally Adjusted","CNI","CentralBank1"
"28555","Retail","Real industrial sales (2016=100) - (CNI) - Seasonally Adjusted","CNI","CentralBank1"
"28556","Hworked","Hours worked in production – manufacturing industry (2016=100) - Seasonally Adjusted","CNI","CentralBank1"
